,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,GEOID,Sub_geo,geometry
1541,9221820004,2356 CHESTNUT LOG DR,7/20/22,2022,7,2022-7,298900,1983,1232,242.6136364,13097080602,South Douglas,POINT (-84.6525537 33.7471916)
1556,1480150137,3685 LINDSY BROOKE CT,7/19/22,2022,7,2022-7,510000,2012,4451,114.580993,13097080602,South Douglas,POINT (-84.6479533 33.7046644)
1596,9611820014,8684 CHESTNUT LN,7/13/22,2022,7,2022-7,207000,1971,1408,147.0170455,13097080602,South Douglas,POINT (-84.659294 33.7439253)
1624,1550150101,3233 BAKEWELL ST,7/8/22,2022,7,2022-7,470000,2006,2916,161.1796982,13097080602,South Douglas,POINT (-84.6437989 33.7134715)
1635,8901820008,2360 AMBASSADOR DR,7/5/22,2022,7,2022-7,238000,1984,1554,153.1531532,13097080602,South Douglas,POINT (-84.6528372 33.7537881)
1654,1550150530,9927 STRETFORD RD,8/15/19,2019,8,2019-8,289000,2018,2461,117.4319382,13097080602,South Douglas,POINT (-84.6398806 33.7149181)
1664,1550150464,9980 ASHTON OLD RD,8/9/19,2019,8,2019-8,215000,2007,2173,98.94155545,13097080602,South Douglas,POINT (-84.6387893 33.712013)
1691,1570150015,3906 VALLEY RD,8/25/19,2019,8,2019-8,60000,1956,1452,41.32231405,13097080602,South Douglas,POINT (-84.6467475 33.698276)
1693,10141820026,3507 SAGE DR,8/30/19,2019,8,2019-8,144000,1971,1008,142.8571429,13097080602,South Douglas,POINT (-84.6579761 33.7354124)
1697,9251820054,2089 W LOTUS POINT DR,8/30/19,2019,8,2019-8,168000,1991,1440,116.6666667,13097080602,South Douglas,POINT (-84.6419244 33.7479621)
1726,1550150178,9922 E MANCUNIAN WAY,8/2/19,2019,8,2019-8,285600,2007,2496,114.4230769,13097080602,South Douglas,POINT (-84.6409178 33.7116989)
1734,1550150051,3243 BAKEWELL ST,8/13/19,2019,8,2019-8,370000,2006,3275,112.9770992,13097080602,South Douglas,POINT (-84.6447652 33.7128001)
1775,9601820005,2400 OLD CHESTNUT LOG RD,8/29/19,2019,8,2019-8,65000,1946,1605,40.49844237,13097080602,South Douglas,POINT (-84.6541858 33.7464034)
1812,10111820023,202 LEGACY PARK DR,8/23/19,2019,8,2019-8,225000,2006,1780,126.4044944,13097080602,South Douglas,POINT (-84.6736133 33.7397093)
1813,10111820018,101 LEGACY PARK DR,8/22/19,2019,8,2019-8,218700,2006,1926,113.5514019,13097080602,South Douglas,POINT (-84.6740916 33.7397148)
1816,10111820024,203 LEGACY PARK DR,8/21/19,2019,8,2019-8,218700,2006,2030,107.7339901,13097080602,South Douglas,POINT (-84.6735073 33.7396632)
1818,1490150151,2424 MANAL WAY,8/21/19,2019,8,2019-8,340000,2005,3112,109.2544987,13097080602,South Douglas,POINT (-84.6536954 33.7144272)
1874,1550150191,9909 ARDWICK GREEN WAY,8/12/19,2019,8,2019-8,450000,2005,3253,138.3338457,13097080602,South Douglas,POINT (-84.6444272 33.711906)
